Date,Exports,Imports,Trade Balance,Currency in Circulation,Cash with Banks,Currency with the Public,Consumer Goods Manufacture,CPI,GDP,Government Expenditure,Gross Fixed Capital,Immediate Rates,Interest Rates,Share Prices,Wholesale Industry Prices
2012-07-01,23099.875455,40619.444564,-17519.569109,1102264.0,43892.551,1058371.2066,87.0016036060864,80.4717957598463,99.9940046498033,3108695656000.0,8258110802979.45,9.019743162794859,8.986969525783685,-7.441166746374843,95.84487086574991
2012-10-01,24032.900826,44243.752076,-20210.85125,1109819.0,44515.1147,1065303.5448,95.4866153516184,82.17281572656074,99.849228912915,2096869209999.9998,8313331152281.04,9.078289120623962,9.084447611065071,-4.07652953837594,96.75652053487303
2013-01-01,25775.191177,44754.681249,-18979.490072,1158645.0,49705.6768,1108939.4572,89.6194517024879,84.65450729907113,99.7327962170642,3011028217000.0,8556290632386.109,8.913851967614393,8.906574345753869,18.152550673883834,98.36358441952511
2013-04-01,24524.539576,41577.149493,-17052.609917,1225850.0,45698.7226,1180150.9405,92.144514246356,87.19199277270548,99.6506574362976,3084849117000.0,8548381880667.09,8.532886592754119,8.556710468831504,-7.928764339050227,98.55355239806917
2013-07-01,25835.082274,38326.44782,-12491.365546,1206304.4913,48364.622,1157939.8693,91.4363021435863,89.20222643190515,99.6127502999334,3313094673000.0,8655635698681.919,9.270291583983603,10.235159737698085,14.307200140769945,100.35734124549346
2013-10-01,27480.129706,38075.016656,-10594.88695,1242497.1744,53875.2362,1188621.9382,102.171711379252,91.26105341060435,99.6183377975118,2370252118000.0,8947181471250.541,9.204376469521518,8.83210184409104,-3.275581658353741,103.24299118525524
2014-01-01,26891.577111,36346.324453,-9454.747342,1279164.4033,51643.0307,1227521.3726,97.0148483307706,90.78334040669624,99.6447792299855,2796894487000.0,9005011167400.45,8.715766368334075,8.906574345753869,4.6290088177030775,103.46391842646331
2014-04-01,25827.540375,35795.638279,-9968.097904,1345087.6875,54159.8041,1290927.8834,94.6270736216647,93.36487721679087,99.6851238738702,3370373997000.0,9252609653583.129,9.034821098210244,9.060046378762769,-17.736376403585457,103.54475440717927
2014-07-01,25815.699795,40068.005067,-14252.305272,1348839.7802,55192.8383,1293646.9419,98.8152359847412,95.65515345038332,99.7247060843846,3844868173000.0,9449280171717.39,9.019743162794859,8.986969525783685,30.115399540643295,105.32105866321146
2014-10-01,25914.721576,39468.755455,-13554.033879,1367176.055,66658.6025,1300517.4525,89.0587161264434,95.80517225262611,99.7512373233504,3135466435000.0,9306675989980.1,9.078289120623962,9.084447611065071,-10.709994637787457,104.14388988669711
2015-01-01,24415.169792,32265.37127,-7850.201478,1410325.864,59332.5871,1350993.2769,97.7999932676487,97.29522558354783,99.7917933997996,2666909162000.0,9495351286719.37,8.765287768154153,8.659169502816262,30.108804096074767,100.91375142299451
2015-04-01,22137.213767,33506.505086,-11369.291319,1494151.5041,61987.6833,1432163.8208,96.5400341605789,98.76615110536551,99.885971070323,3636061137000.0,9530646911604.799,8.532886592754119,8.556710468831504,-22.138259428392352,100.00553843708308
2015-07-01,23281.205117,36372.069889,-13090.864772,1487834.2794,63129.4607,1424704.8187,102.856522021152,99.83057681528139,100.051307690564,4256667005000.0005,9730076045083.53,8.26809789922862,8.238055398635044,8.729470822422751,100.26709183789859
2015-10-01,21456.110713,31148.328745,-9692.218032,1516068.7528,71078.0196,1444990.7332,104.338765088167,101.86399737532139,100.288474916006,3498647099000.0,10092180549467.201,7.817415631648412,7.822718776194922,-0.4856465936898775,99.18894702876644
2016-01-01,21199.025451,28866.530777,-7667.505326,1587134.1753,69859.3029,1517274.8724,101.803004663455,103.04100662194587,100.568166894998,2970335201000.0,10218020199844.5,7.675816972112394,7.669550131065832,-10.667618655113944,98.36358441952511
2016-04-01,20863.472334,25689.177558,-4825.705224,1720115.9102,71491.0994,1648624.8108,105.447574750965,104.55323027169547,100.809931346514,3890457985000.0,10696106618755.9,7.177663428022583,7.046702739037709,8.544163984194471,98.9165489078227
2016-07-01,21692.270863,29305.248157,-7612.977294,1736364.0,74199.2044,1662164.7956,102.867766986977,106.28350383375948,100.946211042774,4551224100000.0,10704802628575.701,7.015355793284889,6.989865186720644,-1.1541142793654746,100.89883769106258
2016-10-01,23360.614495,34495.092014,-11134.477519,1777534.7134,75324.9803,1702209.7331,105.930696274656,105.27208650683801,100.954770300947,3847844626000.0,10884768042864.299,6.808716840467972,6.813335708298803,-1.3435137015738108,100.45020521078537
2017-01-01,22356.316704,32261.139355,-9904.822651,987677.9623,74197.6161,913480.3462,100.2594548053,104.95626696807919,100.883448572806,3577049288000.0,11101034989804.1,6.685388975710795,6.679930759315402,8.426910075108612,102.55314449665302
2017-04-01,24579.014311,38834.650411,-14255.6361,1432113.8199,69921.0469,1362192.773,104.376840811041,106.86806193822767,100.835082941728,4848113191000.0,11272943214945.9,6.525148570929621,6.543366829106444,-14.804113995415026,102.72801226023407
2017-07-01,22292.633411,34215.041814,-11922.408403,1547981.0009,78487.4367,1469493.5642,100.316089361711,108.18142354507609,100.863592858646,5042897768000.0,11769841866751.2,6.514258950907397,6.490589101954884,14.915813396210794,102.79407525055453
2017-10-01,22888.701041,37501.433058,-14612.732017,1634731.1385,86172.4702,1548558.6683,96.899321202849,108.68017563835463,100.959712577577,4447592682000.0,12188604086595.6,6.304367444877752,6.308644174350744,-5.495723533108568,104.14388988669711
2018-01-01,25407.743953,40701.209668,-15293.465715,1733284.1516,72542.614,1660741.5376,107.84666472074,110.31899593725088,101.078712034687,4062584984000.0,12924628681707.299,6.1901749775099955,6.185121073440187,24.83752495786593,105.64977585800798
2018-04-01,25949.464389,39966.951126,-14017.486737,1903648.0324,78772.1848,1824875.8476,107.836399168898,111.111919993536,101.156435840287,5420170423000.0,13069495474189.2,6.274181318201558,6.2916988741408115,-13.402905347513594,106.44872648520766
2018-07-01,25754.235583,44388.072262,-18633.836679,1936634.3539,77700.7901,1858933.5638,114.218765282827,114.25476662129105,101.158941849413,5680305822000.0,13741767455081.4,6.514258950907397,6.490589101954884,13.98811295256025,108.20903970624681
2018-10-01,26673.950264,44677.886899,-18003.936635,1961262.7247,86127.6055,1875135.1193,114.684201709334,114.36032419088133,101.07729059984,4749625450000.0,14181935924146.7,6.808716840467972,6.813335708298803,-2.4918375882218884,109.90964157592619
2019-01-01,26407.364294,41455.209687,-15047.845393,2065058.2721,78323.5133,1986734.7588,109.844609835586,117.59698525255588,100.896879558274,4526172656000.0,14136098536582.8,6.685388975710795,6.679930759315402,2.4998374590218524,108.5642524334019
2019-04-01,26037.651825,42387.256496,-16349.604671,2179980.3309,87913.3395,2092066.9913,109.978968678687,120.37124665966375,100.613951724391,5678943884000.0,14844334913719.1,6.274181318201558,6.2916988741408115,-12.456678808065636,109.8971933278652
2019-07-01,26231.643087,40430.648303,-14199.005216,2187510.1345,88805.5655,2098704.5689,111.028379711204,121.08727758203327,100.2482033986,6402469405000.0,14651264846522.799,6.013162108529905,5.991313017189124,6.070852750132992,109.47253141257478
2019-10-01,26212.38913,37986.365411,-11773.976281,2257135.215,95254.2801,2161880.9349,93.7299502034286,123.06988530475647,99.875543203363,5412273353000.0,14531865408352.5,5.446973472374378,5.450668566639043,-4.171858756107671,109.90964157592619
2020-01-01,25853.303508,41149.495366,-15296.191858,2310974.6662,92198.4647,2218776.2015,105.306553171054,126.40718284476695,99.6102315054273,5356471894000.0,14485666351405.7,5.348311180568636,5.343944607452322,12.673269117419826,112.3895029386051
2020-04-01,10159.834335,17083.408101,-6923.573766,2522970.1435,98304.9455,2424665.198,4.75390265837987,126.92993638150529,88.5710756792451,6888541488000.0,7694983398141.53,4.66799090074196,4.681023962360764,18.885754455137604,108.17295990653643
2020-07-01,23642.85,28469.11,-4826.26,2672560.4739,96266.975,2576293.4988,84.2906440733493,127.54020460051136,89.337953993663,5317434961000.0,13479904861649.701,4.259323160208683,4.243846720508962,-4.127336725574973,109.20178318979022
2020-10-01,24919.72853,34073.517545,-9153.789015,2714545.4085,94967.0308,2619578.3777,111.290252659279,130.33366974404888,94.7518772930849,5806608663000.0,15334494306974.9,4.286969862516871,4.289878038558506,-1.2522355891393584,111.3510794982342
2021-01-01,27517.804552,41955.107178,-14437.302626,2806791.7872,99578.8882,2707212.899,104.785395606477,130.405399143376,96.3572064781005,6661560048000.0,16989369745233.799,4.209318984706797,4.205882329939327,15.001876654577465,115.21290212101799
2021-04-01,30733.212339,45751.18845,-15017.976111,2907159.721,104322.7988,2802836.9222,89.231089150369,133.45395696548235,92.0716444454784,7025659968000.0,13396293373740.1,4.2664432963770595,4.278355234415752,-52.96474734865362,119.78884821864801
